Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	dynamic	f=36	f=30	f=24	f=18	f=15	f=12
1	0.99727	0.981218	0.974249	0.966889	0.971784	0.982651	0.997317
2	0.988663	0.966456	0.953961	0.942673	0.951017	0.970916	0.995966
3	0.977372	0.953355	0.936779	0.922175	0.93167	0.959368	0.994868
4	0.963185	0.941445	0.922198	0.905703	0.914678	0.948186	0.993941
5	0.947177	0.930863	0.90996	0.892219	0.89911	0.937097	0.993044
6	0.930617	0.921121	0.899009	0.881321	0.885337	0.926584	0.992225
7	0.913748	0.912291	0.889476	0.871762	0.87302	0.916037	0.991258
8	0.897432	0.904139	0.881173	0.863243	0.861958	0.906168	0.990444
9	0.882544	0.89647	0.873557	0.855361	0.851959	0.896862	0.989583
10	0.868161	0.889125	0.865863	0.84779	0.84267	0.887897	0.988818
11	0.854989	0.882173	0.858725	0.840679	0.833613	0.878784	0.988118
12	0.842777	0.875435	0.85186	0.833683	0.825054	0.870625	0.987291
13	0.832045	0.868726	0.845118	0.826926	0.817232	0.862428	0.98652
14	0.822067	0.862079	0.838416	0.820068	0.809781	0.854588	0.985681
15	0.812567	0.855332	0.831566	0.813354	0.802431	0.846874	0.984841
16	0.803279	0.848688	0.825207	0.806439	0.795808	0.839328	0.984156
17	0.794638	0.841776	0.818712	0.799453	0.789278	0.832228	0.983407
18	0.786774	0.835252	0.811979	0.792465	0.78292	0.825359	0.982678
19	0.778882	0.828949	0.805769	0.785112	0.776735	0.818701	0.981886
20	0.771141	0.822784	0.799608	0.77806	0.770663	0.812086	0.981186
21	0.763838	0.816524	0.793179	0.771428	0.764608	0.8056	0.98043
22	0.756951	0.810217	0.786962	0.764852	0.758498	0.799342	0.979771
23	0.749966	0.803971	0.780848	0.758164	0.752355	0.793309	0.979087
24	0.742814	0.79781	0.774431	0.75168	0.746099	0.78736	0.978286
25	0.735759	0.791614	0.768057	0.745034	0.739907	0.781333	0.977431
26	0.729059	0.78513	0.76139	0.738376	0.734052	0.775469	0.976777
27	0.722007	0.77902	0.754641	0.732114	0.728398	0.769652	0.97598
28	0.714829	0.772779	0.747983	0.725428	0.722511	0.763808	0.975239
29	0.707993	0.766404	0.7414	0.71865	0.71646	0.758309	0.974468
30	0.701439	0.760077	0.734687	0.711872	0.710758	0.752852	0.973924
31	0.694762	0.753772	0.727734	0.704934	0.704959	0.746946	0.973075
32	0.688202	0.747277	0.721093	0.698651	0.699067	0.741163	0.972446
33	0.681579	0.740717	0.714573	0.691977	0.693544	0.735573	0.97164
34	0.674936	0.734771	0.707936	0.685394	0.687723	0.729876	0.970861
35	0.668332	0.728423	0.70083	0.678639	0.681834	0.724335	0.970108
36	0.661593	0.721937	0.694367	0.672011	0.675938	0.718962	0.969402
37	0.654917	0.715751	0.68787	0.66559	0.67001	0.713703	0.968638
38	0.648317	0.709829	0.681295	0.658979	0.664063	0.708291	0.967878
39	0.641565	0.703875	0.674952	0.652461	0.658154	0.703309	0.967102
