Time step,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty
,dynamic,f=36,f=30,f=24,f=18,f=15,f=12
1,0.995029,0.98298,0.977042,0.967306,0.971892,0.980584,0.994929
2,0.986859,0.969889,0.958811,0.94298,0.950137,0.96677,0.992374
3,0.975169,0.957454,0.943791,0.923559,0.930833,0.953851,0.990153
4,0.960939,0.946174,0.930611,0.908277,0.913857,0.941,0.98801
5,0.944035,0.936133,0.919441,0.896012,0.898913,0.928822,0.986128
6,0.927345,0.92703,0.909303,0.885031,0.885737,0.917242,0.984226
7,0.910233,0.91856,0.900415,0.875675,0.873479,0.906466,0.98232
8,0.894089,0.911103,0.892288,0.867088,0.862406,0.895677,0.980313
9,0.87895,0.90364,0.884572,0.859538,0.853168,0.885337,0.978391
10,0.865099,0.896768,0.87669,0.851981,0.844137,0.876164,0.976663
11,0.852266,0.889697,0.869483,0.844386,0.835898,0.867281,0.974803
12,0.840678,0.882789,0.862746,0.836758,0.828028,0.858725,0.97289
13,0.829887,0.876084,0.85619,0.828681,0.820175,0.850316,0.970947
14,0.820061,0.869571,0.849614,0.820952,0.813236,0.842274,0.969086
15,0.811104,0.86292,0.843173,0.813565,0.806123,0.834457,0.967081
16,0.802766,0.856179,0.836702,0.806397,0.799472,0.82688,0.965277
17,0.794795,0.850122,0.830182,0.798918,0.792422,0.819323,0.963241
18,0.787315,0.844195,0.823762,0.791925,0.78583,0.812175,0.96121
19,0.780007,0.838094,0.81776,0.785156,0.779245,0.805111,0.959318
20,0.772983,0.832064,0.811298,0.778285,0.772614,0.798178,0.957456
21,0.766295,0.826153,0.804708,0.771489,0.766237,0.791546,0.955497
22,0.759359,0.819859,0.798486,0.765022,0.759723,0.785487,0.95346
23,0.752694,0.813486,0.792411,0.758503,0.753229,0.779322,0.951551
24,0.745792,0.807594,0.786298,0.751984,0.746962,0.773072,0.949575
25,0.739445,0.801309,0.780286,0.745598,0.740828,0.766984,0.947639
26,0.732992,0.795031,0.773937,0.739162,0.734417,0.761091,0.945715
27,0.726479,0.78884,0.767831,0.732509,0.728292,0.755297,0.943793
28,0.719945,0.782183,0.762145,0.725822,0.722234,0.749367,0.941875
29,0.713299,0.775635,0.756307,0.719286,0.716164,0.743815,0.940082
30,0.706232,0.76926,0.750435,0.713004,0.710066,0.738126,0.938225
31,0.699723,0.762979,0.744343,0.706575,0.703922,0.732637,0.93648
32,0.693318,0.756692,0.738075,0.699947,0.698042,0.727127,0.934587
33,0.686369,0.750587,0.73198,0.69307,0.691942,0.721857,0.932678
34,0.680017,0.744449,0.725509,0.686348,0.68573,0.716306,0.930967
35,0.673653,0.738496,0.719312,0.679106,0.679674,0.711032,0.929223
36,0.667208,0.732597,0.712529,0.672429,0.673429,0.705745,0.927366
37,0.660749,0.726583,0.705856,0.665746,0.667123,0.700411,0.925568
38,0.654691,0.720357,0.699721,0.658906,0.660851,0.694981,0.923694
39,0.648386,0.713956,0.693415,0.652011,0.654566,0.68967,0.92178
40,0.641833,0.7075,0.686872,0.645142,0.648498,0.684325,0.920022
41,0.635393,0.701177,0.680666,0.638564,0.642429,0.67874,0.918178
42,0.628859,0.69495,0.674557,0.631684,0.636507,0.673489,0.916466
43,0.62233,0.688873,0.668295,0.625116,0.630398,0.668105,0.914534
