Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	¦Î=0.5	¦Î=1	¦Î=1.5	¦Î=2
1	0.99727	0.995029	0.993183	0.991793
2	0.988663	0.986859	0.98354	0.982363
3	0.977372	0.975169	0.97058	0.96981
4	0.963185	0.960939	0.956041	0.955719
5	0.947177	0.944035	0.939889	0.939402
6	0.930617	0.927345	0.923656	0.924285
7	0.913748	0.910233	0.907661	0.908736
8	0.897432	0.894089	0.893378	0.894219
9	0.882544	0.87895	0.879789	0.880944
10	0.868161	0.865099	0.866945	0.868616
11	0.854989	0.852266	0.855271	0.857649
12	0.842777	0.840678	0.844457	0.846956
13	0.832045	0.829887	0.834363	0.837512
14	0.822067	0.820061	0.825008	0.828935
15	0.812567	0.811104	0.816557	0.82049
16	0.803279	0.802766	0.808547	0.81225
17	0.794638	0.794795	0.801014	0.804799
18	0.786774	0.787315	0.793119	0.797582
19	0.778882	0.780007	0.785699	0.790379
20	0.771141	0.772983	0.77837	0.783558
21	0.763838	0.766295	0.771554	0.77674
22	0.756951	0.759359	0.764489	0.769829
23	0.749966	0.752694	0.757584	0.763058
24	0.742814	0.745792	0.751098	0.755633
25	0.735759	0.739445	0.744647	0.74862
26	0.729059	0.732992	0.737935	0.741614
27	0.722007	0.726479	0.731308	0.734607
28	0.714829	0.719945	0.724699	0.727793
29	0.707993	0.713299	0.71755	0.721305
30	0.701439	0.706232	0.710733	0.714324
31	0.694762	0.699723	0.703793	0.707525
32	0.688202	0.693318	0.697164	0.700691
33	0.681579	0.686369	0.690276	0.693921
34	0.674936	0.680017	0.683228	0.687565
35	0.668332	0.673653	0.676389	0.681026
36	0.661593	0.667208	0.669967	0.674542
37	0.654917	0.660749	0.663726	0.667755
38	0.648317	0.654691	0.65785	0.66119
39	0.641565	0.648386	0.651705	0.654375
40	0.634982	0.641833	0.645113	0.648033
41	0.62838	0.635393	0.63875	0.642134
42	0.621749	0.628859	0.632249	0.635996
43	0.614969	0.62233	0.625887	0.629457
44	0.608257	0.615662	0.619571	0.623306
45	0.601334	0.609137	0.612875	0.616611
46	0.594864	0.602862	0.606147	0.610077
47	0.588034	0.595995	0.599538	0.603552
48	0.581727	0.589522	0.593052	0.597132
49	0.575041	0.583086	0.586482	0.590555
50	0.568546	0.576639	0.579941	0.583971
51	0.56179	0.569918	0.573603	0.577327
52	0.555267	0.56359	0.567153	0.571023
53	0.54846	0.557379	0.560893	0.564357
54	0.541688	0.551014	0.554716	0.557471
55	0.535048	0.544347	0.548557	0.550785
56	0.528116	0.537691	0.54252	0.543925
57	0.521399	0.530997	0.535782	0.537022
58	0.514626	0.524117	0.529168	0.530368
59	0.507861	0.517129	0.522531	0.523491
60	0.500911	0.510237	0.515895	0.516716
61	0.494152	0.503279	0.509339	0.509466
62	0.4871	0.49638	0.50262	0.502517
63	0.480351	0.489887	0.496532	0.495367
64	0.473745	0.483118	0.490328	0.488329
65	0.466735	0.476403	0.48443	0.48173
66	0.45991	0.469823	0.478015	0.474882
67	0.453222	0.463133	0.471665	0.468108
68	0.446851	0.456616	0.46488	0.461412
69	0.440104	0.449987	0.458236	0.45489
70	0.433496	0.443264	0.451672	0.448348
71	0.426997	0.436606	0.445014	0.441403
72	0.420628	0.430026	0.43827	0.434717
73	0.414499	0.423475	0.431604	0.428268
74	0.408419	0.417052	0.424748	0.421997
75	0.40206	0.410613	0.418392	0.4154
76	0.39563	0.403955	0.412218	0.408843
77	0.388927	0.397236	0.406055	0.40224
78	0.382314	0.390813	0.400271	0.395333
79	0.375505	0.384437	0.394281	0.389095
80	0.368923	0.378106	0.388241	0.38263
81	0.362295	0.371863	0.382275	0.375917
82	0.355762	0.3658	0.37613	0.369136
83	0.349044	0.359581	0.369787	0.362522
84	0.342916	0.353211	0.363493	0.355945
85	0.336193	0.347025	0.356966	0.349406
86	0.329675	0.340999	0.350753	0.343056
87	0.323109	0.335034	0.344618	0.336617
88	0.316463	0.328652	0.338487	0.330392
89	0.309637	0.322654	0.332326	0.323909
90	0.302986	0.316386	0.325753	0.317448
91	0.296248	0.309884	0.319618	0.310968
92	0.289519	0.303606	0.313566	0.304505
93	0.282867	0.29724	0.306909	0.298343
94	0.276137	0.290957	0.300383	0.291935
95	0.269703	0.284272	0.294069	0.285356
96	0.263095	0.277516	0.287667	0.279016
97	0.256654	0.271141	0.281246	0.272732
98	0.250064	0.264424	0.274817	0.266487
99	0.243457	0.257517	0.268267	0.260363
100	0.236895	0.250721	0.261633	0.253761
101	0.230507	0.244022	0.255111	0.247098
102	0.22395	0.237723	0.248681	0.24043
103	0.217195	0.231736	0.242262	0.233881
104	0.210515	0.22566	0.23582	0.227321
105	0.20403	0.219565	0.229543	0.220795
106	0.197522	0.213272	0.223009	0.21444
107	0.191152	0.207116	0.216708	0.208164
108	0.184715	0.200886	0.210225	0.20156
109	0.178195	0.194931	0.203633	0.194925
110	0.171732	0.18913	0.197222	0.188418
111	0.165261	0.183008	0.190948	0.182342
112	0.159173	0.177087	0.184895	0.17614
113	0.153166	0.170915	0.178921	0.170064
114	0.14717	0.16482	0.172952	0.164178
115	0.141245	0.158664	0.1671	0.158558
116	0.135351	0.152732	0.161618	0.152976
117	0.12968	0.146637	0.156245	0.14746
118	0.124077	0.1408	0.150717	0.141861
119	0.118311	0.135053	0.145396	0.135931
120	0.112885	0.12927	0.140407	0.130382
121	0.107679	0.123897	0.135264	0.124761
122	0.102351	0.11853	0.130097	0.119371
123	0.097364	0.113393	0.12526	0.114372
124	0.09207	0.108406	0.120563	0.109162
125	0.087467	0.103486	0.115607	0.103953
126	0.083012	0.098643	0.110918	0.098853
127	0.078649	0.093841	0.106105	0.093934
128	0.074582	0.089134	0.101275	0.089156
129	0.070776	0.084548	0.096279	0.084767
130	0.06715	0.080387	0.091647	0.080293
131	0.063751	0.076249	0.086905	0.076061
132	0.060308	0.072359	0.082497	0.072084
133	0.057221	0.068415	0.078305	0.068336
134	0.054255	0.064679	0.074366	0.064775
135	0.051324	0.060988	0.070219	0.061478
136	0.048526	0.057566	0.066453	0.058499
137	0.045932	0.054369	0.062854	0.055605
138	0.043488	0.051275	0.059453	0.052821
139	0.04108	0.048483	0.056442	0.050151
140	0.038817	0.045847	0.053522	0.047622
141	0.036784	0.043242	0.050807	0.045335
142	0.034743	0.040839	0.04817	0.043122
143	0.032981	0.038582	0.045804	0.041056
144	0.031257	0.036529	0.043539	0.039125
145	0.029708	0.034677	0.041246	0.037275
146	0.028266	0.032924	0.039219	0.035648
147	0.026897	0.031351	0.037397	0.034007
148	0.025646	0.02978	0.035693	0.032582
149	0.02457	0.028287	0.034028	0.031124
150	0.023529	0.026927	0.032487	0.029782
151	0.02258	0.025762	0.031029	0.028512
152	0.021679	0.024637	0.029658	0.02737
153	0.020876	0.023644	0.02832	0.026271
154	0.020157	0.022703	0.027065	0.025294
155	0.019504	0.021771	0.025918	0.024449
156	0.018871	0.020993	0.024852	0.023553
157	0.018279	0.020161	0.023853	0.022762
158	0.017742	0.019429	0.022869	0.022014
159	0.017285	0.018733	0.021938	0.021286
