Uav number	Target number	Revisit interval	Target detected	First time all target detected	Focal lengh	Cells coverd	Performance									
		Proposed	Proposed	Proposed	Proposed	Proposed	Proposed									
2	8	84.0557265228481	6.1289	408.625	18.6957	283.2139	24.6244090177304									
4	8	40.3851840770101	6.6181	220.1	19.595075	501.9775	63.9160872612655									
6	8	17.9015406228717	6.5419	159.7	20.2521166666666	692.0015	116.478348172048									
2	12	80.9741956894111	8.7665	583.5	18.8114	276.2816	25.3544958145804									
4	12	41.9702168710308	10.1311	289.3	19.713825	498.6898	65.6739990516857									
6	12	20.923473811101	9.7695	278.6	20.33005	685.9326	115.287487909086									
2	16	91.9546418570559	12.0964	712.833333333333	19.1662	269.9489	27.4263179945302									
4	16	42.175428768912	13.1105	330.6	19.674025	497.7612	65.6509953894291									
6	16	22.2774040526305	12.992	341.6	20.3486333333333	688.0078	122.384149284703									
